Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019
24712.0,16553,225.0,297.0,195800.0,1309.0,72,00918,25117.0,15759.0,261.0,332.0,171800.0,1257.0
26157.0,18729,534.0,663.0,155900.0,1068.0,72,00920,25809.0,16281.0,532.0,665.0,146500.0,979.0
19263.0,38499,463.0,547.0,153300.0,1066.0,72,00921,18763.0,31801.0,439.0,537.0,134300.0,947.0
15633.0,27853,351.0,436.0,118800.0,948.0,72,00923,14159.0,23851.0,311.0,371.0,108400.0,862.0
19142.0,56236,304.0,395.0,138000.0,951.0,72,00924,18176.0,48141.0,309.0,392.0,128600.0,928.0
11794.0,7120,421.0,460.0,144100.0,969.0,72,00925,11090.0,6640.0,402.0,444.0,128700.0,892.0
35140.0,105093,536.0,664.0,186300.0,1329.0,72,00926,35788.0,93330.0,482.0,582.0,170400.0,1218.0
33758.0,14764,388.0,540.0,236200.0,1608.0,72,00927,35268.0,13626.0,409.0,528.0,193000.0,1466.0
83264.0,188,965.0,965.0,-666666666.0,-666666666.0,72,00934,-666666666.0,109.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
-666666666.0,877,-666666666.0,-666666666.0,-666666666.0,-666666666.0,72,00936,-666666666.0,773.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
24961.0,80406,468.0,545.0,136300.0,969.0,72,00949,27229.0,72943.0,481.0,599.0,127100.0,909.0
-666666666.0,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,72,00950,-666666666.0,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
-666666666.0,15,-666666666.0,-666666666.0,-666666666.0,-666666666.0,72,00951,-666666666.0,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
18499.0,9338,433.0,525.0,125800.0,869.0,72,00952,14991.0,7598.0,467.0,518.0,98200.0,744.0
29406.0,73537,449.0,575.0,154900.0,1142.0,72,00953,29019.0,71174.0,501.0,664.0,133900.0,1069.0
23125.0,75830,470.0,590.0,136000.0,904.0,72,00956,23127.0,63264.0,451.0,563.0,121200.0,889.0
23643.0,44639,441.0,532.0,137200.0,964.0,72,00957,26667.0,38198.0,472.0,539.0,130400.0,908.0
26754.0,48699,441.0,529.0,152900.0,1059.0,72,00959,30466.0,46441.0,499.0,602.0,137000.0,983.0
-666666666.0,2037,-666666666.0,-666666666.0,-666666666.0,-666666666.0,72,00960,-666666666.0,2205.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
29169.0,31774,399.0,490.0,155800.0,1068.0,72,00961,29511.0,29743.0,489.0,579.0,149900.0,977.0
16289.0,21204,189.0,264.0,112500.0,852.0,72,00962,15497.0,19082.0,333.0,466.0,106800.0,846.0
16135.0,8978,358.0,437.0,97000.0,783.0,72,00965,15276.0,6709.0,314.0,421.0,84800.0,739.0
53052.0,15785,609.0,709.0,257200.0,1743.0,72,00966,48163.0,15254.0,646.0,797.0,224700.0,1814.0
42036.0,3594,783.0,939.0,221700.0,1480.0,72,00968,49099.0,3448.0,784.0,865.0,217300.0,1674.0
51285.0,42316,597.0,755.0,243600.0,1675.0,72,00969,50419.0,41941.0,756.0,889.0,222400.0,1545.0
23338.0,30349,416.0,532.0,159600.0,1147.0,72,00971,22480.0,25925.0,502.0,621.0,122000.0,1054.0
29736.0,61862,407.0,533.0,160700.0,1153.0,72,00976,32377.0,58640.0,397.0,519.0,146200.0,1041.0
38187.0,16157,659.0,787.0,187600.0,1286.0,72,00979,34701.0,16130.0,727.0,870.0,170600.0,1205.0
26370.0,15132,529.0,647.0,144600.0,990.0,72,00982,24895.0,14346.0,501.0,604.0,136800.0,910.0
27834.0,40273,510.0,600.0,155800.0,1041.0,72,00983,25750.0,33947.0,450.0,551.0,134700.0,957.0
24514.0,35236,494.0,534.0,144900.0,956.0,72,00985,26156.0,31682.0,472.0,561.0,131100.0,945.0
31599.0,60544,556.0,657.0,154500.0,1096.0,72,00987,32555.0,54241.0,583.0,716.0,142100.0,1057.0
60775.0,17141,800.0,895.0,212900.0,1586.0,25,01001,63949.0,17312.0,1025.0,1148.0,215700.0,1506.0
55082.0,29844,1026.0,1117.0,341600.0,2094.0,25,01002,61159.0,30014.0,1280.0,1380.0,355500.0,2330.0
-666666666.0,11062,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25,01003,2499.0,11357.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
68361.0,5113,753.0,906.0,208000.0,1642.0,25,01005,67302.0,5128.0,831.0,965.0,236400.0,1555.0
74221.0,14774,755.0,876.0,255800.0,1795.0,25,01007,91191.0,15005.0,909.0,975.0,276900.0,1884.0
71979.0,1212,625.0,821.0,247600.0,1665.0,25,01008,76333.0,1140.0,-666666666.0,-666666666.0,243700.0,1581.0
40929.0,546,807.0,939.0,188800.0,1875.0,25,01009,80714.0,261.0,-666666666.0,-666666666.0,205300.0,1786.0
82365.0,3667,615.0,683.0,270400.0,1693.0,25,01010,70063.0,3658.0,703.0,703.0,272200.0,1880.0
65324.0,1478,709.0,883.0,189800.0,1375.0,25,01011,76500.0,1430.0,753.0,1040.0,206800.0,1495.0
56146.0,499,750.0,870.0,232900.0,1500.0,25,01012,67321.0,585.0,950.0,1257.0,249700.0,1384.0
41342.0,22299,730.0,837.0,174000.0,1403.0,25,01013,43808.0,22733.0,754.0,878.0,183000.0,1466.0
52236.0,30593,710.0,779.0,179700.0,1414.0,25,01020,60561.0,30108.0,834.0,956.0,187400.0,1442.0
60353.0,2711,1713.0,1713.0,130700.0,1112.0,25,01022,46488.0,2586.0,1365.0,1517.0,120900.0,1257.0
51213.0,1009,700.0,825.0,260100.0,1495.0,25,01026,58438.0,933.0,663.0,855.0,259800.0,1480.0
58551.0,17652,747.0,853.0,238200.0,1677.0,25,01027,67119.0,17818.0,877.0,1000.0,262400.0,1680.0
84173.0,15917,678.0,695.0,261700.0,1855.0,25,01028,87748.0,16242.0,782.0,945.0,268400.0,1916.0
52566.0,701,541.0,558.0,342600.0,1169.0,25,01029,87727.0,538.0,-666666666.0,-666666666.0,242200.0,1233.0
68326.0,11485,741.0,839.0,243500.0,1689.0,25,01030,76000.0,11384.0,826.0,869.0,253400.0,1667.0
43583.0,1389,599.0,758.0,196800.0,1473.0,25,01031,38173.0,1135.0,734.0,901.0,198500.0,1400.0
65000.0,585,1051.0,1301.0,239600.0,1762.0,25,01032,68750.0,495.0,881.0,1196.0,249000.0,1714.0
79647.0,6214,718.0,749.0,249800.0,1625.0,25,01033,96979.0,6322.0,716.0,843.0,255800.0,1875.0
77448.0,2061,741.0,970.0,276500.0,1605.0,25,01034,87750.0,2186.0,1125.0,1350.0,278700.0,1573.0
74737.0,5285,875.0,988.0,333500.0,1724.0,25,01035,74364.0,5319.0,1165.0,1252.0,340000.0,2250.0
79639.0,5141,763.0,773.0,272900.0,1804.0,25,01036,91646.0,5178.0,788.0,1121.0,283100.0,1986.0
91471.0,721,-666666666.0,-666666666.0,318300.0,1461.0,25,01037,80556.0,747.0,-666666666.0,-666666666.0,272100.0,1702.0
65536.0,2837,806.0,998.0,297300.0,1815.0,25,01038,72045.0,2734.0,940.0,1088.0,305000.0,1729.0
68500.0,1354,816.0,900.0,273100.0,1559.0,25,01039,94191.0,1207.0,1027.0,1151.0,293900.0,1769.0
35550.0,40079,600.0,697.0,186100.0,1472.0,25,01040,40769.0,40241.0,740.0,838.0,195800.0,1497.0
52813.0,2512,529.0,683.0,209900.0,1633.0,25,01050,67750.0,2438.0,791.0,959.0,212300.0,1525.0
59850.0,1847,784.0,969.0,269700.0,1598.0,25,01053,60823.0,1593.0,959.0,976.0,283500.0,1739.0
78125.0,1836,858.0,961.0,345000.0,1908.0,25,01054,90978.0,2001.0,1139.0,1393.0,335300.0,2117.0
61410.0,21288,734.0,870.0,226100.0,1649.0,25,01056,73458.0,21291.0,825.0,1027.0,232300.0,1765.0
66343.0,8645,711.0,852.0,234900.0,1586.0,25,01057,83008.0,8824.0,722.0,865.0,247700.0,1691.0
53427.0,15348,930.0,1009.0,291300.0,1688.0,25,01060,61798.0,15948.0,1114.0,1231.0,354500.0,1992.0
64727.0,10830,811.0,894.0,273200.0,1840.0,25,01062,75179.0,10364.0,836.0,940.0,320700.0,1870.0
-666666666.0,612,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25,01063,-666666666.0,611.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
-666666666.0,10,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25,01066,-666666666.0,31.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
80577.0,1791,775.0,1039.0,257100.0,1757.0,25,01068,88571.0,1833.0,942.0,1153.0,294800.0,1919.0
54412.0,8982,583.0,673.0,198000.0,1598.0,25,01069,63750.0,8556.0,806.0,889.0,206400.0,1638.0
57031.0,580,563.0,606.0,238900.0,1389.0,25,01070,60000.0,648.0,631.0,800.0,238200.0,1784.0
74688.0,1361,835.0,965.0,218500.0,1572.0,25,01071,75592.0,1318.0,788.0,950.0,229400.0,1651.0
68203.0,1482,1000.0,1238.0,259400.0,1684.0,25,01072,80625.0,1478.0,1179.0,1417.0,274500.0,1829.0
68693.0,5958,845.0,989.0,291600.0,1808.0,25,01073,104577.0,6144.0,705.0,903.0,336600.0,1898.0
58140.0,301,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25,01074,86414.0,411.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
62408.0,17832,803.0,910.0,234100.0,1641.0,25,01075,69346.0,17703.0,874.0,1013.0,243500.0,1672.0
81967.0,9599,771.0,896.0,274400.0,1868.0,25,01077,73776.0,9720.0,919.0,1105.0,277500.0,1902.0
43654.0,542,828.0,1071.0,167600.0,1227.0,25,01079,31594.0,781.0,1107.0,1609.0,190600.0,1414.0
42794.0,2176,703.0,854.0,155100.0,1417.0,25,01080,65741.0,2709.0,786.0,957.0,169200.0,1510.0
52768.0,1807,725.0,873.0,196700.0,1498.0,25,01081,69250.0,1883.0,623.0,827.0,196600.0,1517.0
52709.0,10394,636.0,786.0,196800.0,1610.0,25,01082,56637.0,10580.0,777.0,955.0,204700.0,1655.0
37126.0,3108,665.0,823.0,199600.0,1573.0,25,01083,60323.0,3094.0,640.0,682.0,220000.0,1444.0
49886.0,211,-666666666.0,-666666666.0,322000.0,1875.0,25,01084,75938.0,168.0,983.0,1208.0,236700.0,1719.0
61211.0,41121,740.0,848.0,223700.0,1695.0,25,01085,68042.0,41780.0,842.0,969.0,236000.0,1689.0
