Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019,MA,MANAME,2009 H%,2010 H%,2011 H%,2012 H%,2013 H%,2014 H%,2015 H%,2016 H%,2017 H%,2018 H%,2019 H%,2020 H%,Average H%_2014,Average H%_2019,Weighted Cost_2014,Weighted Cost_2019,Affordability_2014,Affordability_2019
101205.0,6573.0,859.0,953.0,372800.0,2450.0,25,1519,109670.0,7042.0,1160.0,1366.0,363100.0,2263.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1918.2655999999997,1939.1829999999998,0.22745108640877426,0.21218378772681679
98979.0,14724.0,905.0,1053.0,283600.0,2109.0,25,1520,109529.0,15781.0,1081.0,1172.0,324300.0,2155.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1733.9087999999997,1800.1370000000002,0.21021535477222436,0.19722305508130267
94531.0,3038.0,928.0,979.0,266800.0,2157.0,25,1522,108036.0,3270.0,878.0,941.0,296400.0,1947.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1738.5744,1583.834,0.2206989537823571,0.17592291458402756
65225.0,7103.0,534.0,650.0,226000.0,1806.0,25,1524,81042.0,6654.0,773.0,862.0,262000.0,1708.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1395.3888,1402.594,0.25672158834802605,0.20768401569556527
71676.0,13350.0,830.0,910.0,258100.0,1832.0,25,1527,85781.0,13732.0,963.0,1168.0,290300.0,1944.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1504.5056,1663.8639999999998,0.2518844131927005,0.23275979529266383
88281.0,3208.0,982.0,1239.0,275900.0,1874.0,25,1529,79129.0,3256.0,921.0,1103.0,307500.0,2032.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1648.4479999999999,1696.631,0.22407285825942158,0.2572959597619078
81136.0,1109.0,769.0,875.0,259900.0,1650.0,25,1531,91125.0,1211.0,742.0,983.0,295300.0,1743.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1374.7199999999998,1468.64,0.20332084401498718,0.19340115226337448
107111.0,14644.0,1152.0,1284.0,365300.0,2470.0,25,1532,128613.0,15056.0,1318.0,1440.0,447100.0,2735.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,2048.7327999999998,2267.505,0.22952631942564253,0.21156539385598655
82950.0,6303.0,582.0,719.0,318200.0,1934.0,25,1534,102284.0,6296.0,730.0,780.0,350800.0,2259.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1502.4319999999998,1725.081,0.2173500180831826,0.2023871964334598
58438.0,4715.0,626.0,762.0,204800.0,1518.0,25,1535,78750.0,4774.0,729.0,878.0,244400.0,1740.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1249.4687999999999,1428.8179999999998,0.2565732160580444,0.21772464761904758
72292.0,7138.0,961.0,1077.0,295600.0,1965.0,25,1536,109329.0,7576.0,872.0,1033.0,349100.0,2241.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1649.5824,1804.912,0.2738199081502794,0.19810794940043353
75183.0,2392.0,750.0,932.0,207700.0,1603.0,25,1537,64975.0,2201.0,890.0,1006.0,222700.0,1993.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1364.6608,1636.693,0.21781426120266553,0.3022749672951135
