Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019,MA,MANAME
152750.0,6623.0,1646.0,1883.0,968000.0,3757.0,09,6807,153309.0,7514.0,1772.0,1980.0,1082200,4001.0,14860.0,Bridgeport-Stamford-Norwalk CT
54332.0,50969.0,1057.0,1270.0,271400.0,2111.0,09,6810,63439.0,52548.0,1231.0,1466.0,266200,2017.0,14860.0,Bridgeport-Stamford-Norwalk CT
85811.0,31734.0,1092.0,1264.0,320600.0,2266.0,09,6811,95444.0,31824.0,1318.0,1458.0,333500,2254.0,14860.0,Bridgeport-Stamford-Norwalk CT
101750.0,14079.0,1407.0,1859.0,358600.0,2399.0,09,6812,112457.0,13955.0,1730.0,2067.0,348800,2459.0,14860.0,Bridgeport-Stamford-Norwalk CT
199444.0,21190.0,2001.0,2001.0,1000001.0,4001.0,09,6820,232523.0,21742.0,2257.0,2469.0,1471700,4001.0,14860.0,Bridgeport-Stamford-Norwalk CT
128951.0,35030.0,1520.0,1813.0,643400.0,3387.0,09,6824,149892.0,35349.0,1833.0,2014.0,689900,3621.0,14860.0,Bridgeport-Stamford-Norwalk CT
105045.0,21326.0,1179.0,1338.0,462600.0,2833.0,09,6825,112907.0,21919.0,1415.0,1690.0,467700,2875.0,14860.0,Bridgeport-Stamford-Norwalk CT
107395.0,25066.0,1532.0,1746.0,1000001.0,4001.0,09,6830,119838.0,25036.0,1717.0,1853.0,1505200,4001.0,14860.0,Bridgeport-Stamford-Norwalk CT
147500.0,15119.0,1954.0,2001.0,1000001.0,4001.0,09,6831,167083.0,14588.0,1925.0,1987.0,1120500,4001.0,14860.0,Bridgeport-Stamford-Norwalk CT
179810.0,20073.0,1686.0,1855.0,1000001.0,4001.0,09,6840,190227.0,20276.0,1906.0,2228.0,1355800,4001.0,14860.0,Bridgeport-Stamford-Norwalk CT
78875.0,19633.0,1230.0,1352.0,395300.0,2777.0,09,6850,95038.0,17848.0,1669.0,1809.0,436800,2778.0,14860.0,Bridgeport-Stamford-Norwalk CT
