Zipcode,Household Income,Income per Capita,Population,Median Contract Rent,Median Gross Rent,Median Home Value,Median Monthly Owner Costs,Median Age,Year,MA,MANAME
93426,83523,31374,1839,1093,1093,446300,2361,31.1,2017,41500,Salinas CA
93427,77140,33787,5757,1444,1476,464100,2134,46,2017,42200,Santa Maria-Santa Barbara CA
93428,66731,41362,6155,1204,1331,627800,2108,61.7,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93430,61151,42525,3101,1159,1229,710300,1939,56.4,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93432,76250,39489,990,1787,2287,611900,3007,57.4,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93433,61482,30873,13524,1157,1241,446800,2093,35.5,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93434,44000,16184,7313,1045,1150,221400,1368,27.7,2017,42200,Santa Maria-Santa Barbara CA
93436,55794,24812,56606,990,1137,294400,1788,34.1,2017,42200,Santa Maria-Santa Barbara CA
93441,102500,57887,996,1567,1868,882500,2598,45.2,2017,42200,Santa Maria-Santa Barbara CA
93442,62806,35323,11084,1289,1392,540600,2119,49.8,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93444,79683,34679,20049,1477,1546,497200,2266,43.9,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93445,56250,24522,7714,1074,1102,345700,1643,36.9,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93446,65486,33306,44911,1097,1181,424900,2086,40.2,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93449,77316,50762,8060,1425,1555,660000,2744,54.1,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93450,32969,14268,853,664,821,259400,1646,25.4,2017,41500,Salinas CA
93451,61521,28625,4189,1138,1336,356000,1746,33.6,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93453,50788,30697,3345,959,1148,442000,1731,51.1,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93454,57573,22101,40333,1146,1264,307800,1762,31.3,2017,42200,Santa Maria-Santa Barbara CA
93455,78007,33207,44490,1553,1644,369700,1935,39.5,2017,42200,Santa Maria-Santa Barbara CA
93458,49426,15207,56702,1113,1193,263600,1671,26.8,2017,42200,Santa Maria-Santa Barbara CA
93460,92618,47926,4886,1569,1569,891600,3164,51.1,2017,42200,Santa Maria-Santa Barbara CA
93461,58214,25682,1545,1168,1382,275600,1160,35.4,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93463,76850,46565,8011,1471,1476,777300,2833,47.9,2017,42200,Santa Maria-Santa Barbara CA
93465,80894,37434,8905,1231,1600,558700,2289,45.4,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93501,33768,17564,5063,545,663,100700,984,36.4,2017,12540,Bakersfield CA
93505,45196,17975,13445,729,917,101800,1011,33.6,2017,12540,Bakersfield CA
93510,92727,39035,7836,1442,1639,495900,2425,48.6,2017,31080,Los Angeles-Long Beach-Anaheim CA
93513,57500,26931,1715,721,947,197200,1835,44.6,2017,,
93514,55208,31508,14574,809,936,284000,1827,46,2017,,
93516,42188,21750,2425,458,608,61300,942,39.4,2017,12540,Bakersfield CA
93518,32750,24627,995,775,1000,182100,1769,51.8,2017,12540,Bakersfield CA
93523,62937,24264,3312,1388,1424,53700,1085,28.5,2017,12540,Bakersfield CA
93526,46591,31705,640,630,769,169000,1339,49,2017,,
93527,71904,36340,1852,546,944,164300,1478,57.4,2017,12540,Bakersfield CA
93532,57667,28812,2857,1018,1090,245000,1630,47.3,2017,31080,Los Angeles-Long Beach-Anaheim CA
93534,37883,17738,39166,908,1013,171200,1429,34.9,2017,31080,Los Angeles-Long Beach-Anaheim CA
93535,42978,16417,73728,1011,1137,155400,1315,29.7,2017,31080,Los Angeles-Long Beach-Anaheim CA
93536,72634,26408,71303,1134,1284,274900,1851,35.8,2017,31080,Los Angeles-Long Beach-Anaheim CA
93543,41626,17983,14748,1034,1265,201900,1442,30.8,2017,31080,Los Angeles-Long Beach-Anaheim CA
93545,41583,23143,1818,479,655,256000,1604,39,2017,,
